번호,기업명,뉴스
1,AJ네트웍스,
2,AK홀딩스,
3,BGF,
4,BGF리테일,
5,BNK금융지주,
6,BYC,
7,CJ,
8,CJ CGV,
9,CJ대한통운,
10,CJ씨푸드,
11,CJ제일제당,
12,CS홀딩스,
13,DB,
14,DB금융투자,
15,DB손해보험,
16,DB하이텍,
17,DGB금융지주,
18,DI동일,
19,DRB동일,
20,DSR,
21,DSR제강,
22,E1,
23,F&F,
24,GKL,
25,GS,
26,GS건설,
27,GS글로벌,
28,GS리테일,
29,HDC,
30,HDC아이콘트롤스,
31,HDC현대EP,
32,HDC현대산업개발,
33,HMM,
34,HSD엔진,
35,IHQ,
36,JB금융지주,
37,JW생명과학,
38,JW중외제약,
39,JW홀딩스,
40,KB금융,
41,KCC,
42,KCTC,
43,KC그린홀딩스,
44,KC코트렐,
45,KEC,
46,KG동부제철,
47,KG케미칼,
48,KISCO홀딩스,
49,KPX케미칼,
50,KPX홀딩스,
51,KR모터스,
52,KSS해운,
53,KT,
54,KT&G,
55,KTB투자증권,
56,KTcs,
57,KTis,
58,LF,
59,LG,
60,LG디스플레이,
61,LG상사,
62,LG생활건강,
63,LG유플러스,
64,LG이노텍,
65,LG전자,
66,LG하우시스,
67,LG헬로비전,
68,LG화학,
69,LIG넥스원,
70,LS,
71,LS ELECTRIC,
72,LS네트웍스,
73,LS전선아시아,
74,MH에탄올,
75,NAVER,
76,NHN,
77,NH투자증권,
78,NH프라임리츠,
79,NICE,
80,NI스틸,
81,NPC,
82,OCI,
83,POSCO,
84,S&TC,
85,S&T모티브,
86,S&T중공업,
87,S&T홀딩스,
88,S-Oil,
89,SBS,
90,SBS미디어홀딩스,
91,SG세계물산,
92,SG충방,
93,SH에너지화학,
94,SIMPAC,
95,SJM,
96,SJM홀딩스,
97,SK,
98,SKC,
99,SK가스,
100,SK네트웍스,
101,SK디스커버리,
102,SK디앤디,
103,SK렌터카,
104,SK바이오팜,
105,SK이노베이션,
106,SK증권,
107,SK케미칼,
108,SK텔레콤,
109,SK하이닉스,
110,SPC삼립,
111,STX,
112,STX엔진,
113,STX중공업,
114,TBH글로벌,
115,TCC스틸,
116,WISCOM,
117,YG PLUS,
118,가온전선,
119,강남제비스코,
120,강원랜드,
121,갤럭시아에스엠,
122,경농,
123,경동나비엔,
124,경동도시가스,
125,경동인베스트,
126,경방,
127,경보제약,
128,경인양행,
129,경인전자,
130,계룡건설,
131,계양전기,
132,고려산업,
133,고려아연,
134,고려제강,
135,광동제약,
136,광명전기,
137,광전자,
138,광주신세계,
139,교보증권,
140,국도화학,
141,국동,
142,국보,
143,국제약품,
144,그린케미칼,
145,극동유화,
146,금강공업,
147,금비,
148,금양,
149,금호산업,
150,금호석유,
151,금호에이치티,
152,금호전기,
153,금호타이어,
154,기신정기,
155,기아차,
156,기업은행,
157,까뮤이앤씨,
158,깨끗한나라,
159,남광토건,
160,남선알미늄,
161,남성,
162,남양유업,
163,남해화학,
164,넥센,
165,넥센타이어,
166,넥스트사이언스,
167,넷마블,
168,노루페인트,
169,노루홀딩스,
170,녹십자,
171,녹십자홀딩스,
172,농심,
173,농심홀딩스,
174,다스코,
175,다우기술,
176,대교,
177,대구백화점,
178,대덕,
179,대덕전자,
180,대동공업,
181,대동전자,
182,대림B&Co,
183,대림건설,
184,대림산업,
185,대림씨엔에스,
186,대림통상,
187,대상,
188,대상홀딩스,
189,대성산업,
190,대성에너지,
191,대성홀딩스,
192,대신증권,
193,대양금속,
194,대영포장,
195,대우건설,
196,대우부품,
197,대우조선해양,
198,대웅,
199,대웅제약,
200,대원강업,
201,대원전선,
202,대원제약,
203,대원화성,
204,대유에이텍,
205,대유플러스,
206,대창,
207,대창단조,
208,대한방직,
209,대한유화,
210,대한전선,
211,대한제강,
212,대한제당,
213,대한제분,
214,대한항공,
215,대한해운,
216,대한화섬,
217,대현,
218,대호에이엘,
219,더블유게임즈,
220,더존비즈온,
221,덕성,
222,덕양산업,
223,덴티움,
224,도화엔지니어링,
225,동국제강,
226,동남합성,
227,동방,
228,동방아그로,
229,동부건설,
230,동서,
231,동성제약,
232,동성코퍼레이션,
233,동성화학,
234,동아쏘시오홀딩스,
235,동아에스티,
236,동아지질,
237,동아타이어,
238,동양,
239,동양고속,
240,동양물산,
241,동양생명,
242,동양철관,
243,동양피스톤,
244,동원F&B,
245,동원금속,
246,동원산업,
247,동원수산,
248,동원시스템즈,
249,동일고무벨트,
250,동일산업,
251,동일제강,
252,동화약품,
253,두산,
254,두산밥캣,
255,두산솔루스,
256,두산인프라코어,
257,두산중공업,
258,두산퓨얼셀,
259,두올,
260,드림텍,
261,디씨엠,
262,디아이,
263,디아이씨,
264,디와이,
265,디와이파워,
266,디티알오토모티브,
267,디피씨,
268,락앤락,
269,롯데관광개발,
270,롯데리츠,
271,롯데손해보험,
272,롯데쇼핑,
273,롯데정밀화학,
274,롯데정보통신,
275,롯데제과,
276,롯데지주,
277,롯데칠성,
278,롯데케미칼,
279,롯데푸드,
280,롯데하이마트,
281,마니커,
282,만도,
283,만호제강,
284,맥쿼리인프라,
285,메리츠금융지주,
286,메리츠증권,
287,메리츠화재,
288,메타랩스,
289,명문제약,
290,모나리자,
291,모나미,
292,모두투어리츠,
293,모토닉,
294,무림P&P,
295,무림페이퍼,
296,무학,
297,문배철강,
298,미래산업,
299,미래아이앤지,
300,미래에셋대우,
301,미래에셋맵스리츠,
302,미래에셋생명,
303,미원상사,
304,미원에스씨,
305,미원홀딩스,
306,미원화학,
307,미창석유,
308,바다로19호,
309,방림,
310,백광산업,
311,백산,
312,범양건영,
313,벽산,
314,보락,
315,보령제약,
316,보해양조,
317,부광약품,
318,부국증권,
319,부국철강,
320,부산가스,
321,부산산업,
322,부산주공,
323,비비안,
324,비상교육,
325,비케이탑스,
326,비티원,
327,빙그레,
328,사조대림,
329,사조동아원,
330,사조산업,
331,사조씨푸드,
332,사조오양,
333,삼광글라스,
334,삼부토건,
335,삼성SDI,
336,삼성공조,
337,삼성물산,
338,삼성바이오로직스,
339,삼성생명,
340,삼성에스디에스,
341,삼성엔지니어링,
342,삼성전기,
343,삼성전자,
344,삼성제약,
345,삼성중공업,
346,삼성증권,
347,삼성출판사,
348,삼성카드,
349,삼성화재,
350,삼아알미늄,
351,삼양사,
352,삼양식품,
353,삼양통상,
354,삼양패키징,
355,삼양홀딩스,
356,삼영무역,
357,삼영전자,
358,삼영화학,
359,삼원강재,
360,삼익THK,
361,삼익악기,
362,삼일제약,
363,삼정펄프,
364,삼진제약,
365,삼천리,
366,삼호개발,
367,삼화왕관,
368,삼화전기,
369,삼화전자,
370,삼화콘덴서,
371,삼화페인트,
372,상상인증권,
373,상신브레이크,
374,새론오토모티브,
375,샘표,
376,샘표식품,
377,서연,
378,서연이화,
379,서울가스,
380,서울식품,
381,서원,
382,서흥,
383,선도전기,
384,선진,
385,선창산업,
386,성문전자,
387,성보화학,
388,성신양회,
389,성안,
390,성창기업지주,
391,세기상사,
392,세방,
393,세방전지,
394,세아베스틸,
395,세아제강,
396,세아제강지주,
397,세아특수강,
398,세아홀딩스,
399,세우글로벌,
400,세원셀론텍,
401,세원정공,
402,세이브존I&C,
403,세종공업,
404,세진중공업,
405,세하,
406,세화아이엠씨,
407,센트랄모텍,
408,셀트리온,
409,송원산업,
410,수산중공업,
411,스카이라이프,
412,시디즈,
413,신대양제지,
414,신도리코,
415,신라교역,
416,신성이엔지,
417,신성통상,
418,신세계,
419,신세계 I&C,
420,신세계건설,
421,신세계인터내셔날,
422,신세계푸드,
423,신송홀딩스,
424,신영와코루,
425,신영증권,
426,신원,
427,신일전자,
428,신풍제약,
429,신풍제지,
430,신한알파리츠,
431,신한지주,
432,신화실업,
433,신흥,
434,쌍방울,
435,쌍용양회,
436,쌍용차,
437,써니전자,
438,쎌마테라퓨틱스,
439,씨아이테크,
440,씨에스윈드,
441,아남전자,
442,아모레G,
443,아모레퍼시픽,
444,아세아,
445,아세아시멘트,
446,아세아제지,
447,아시아나IDT,
448,아시아나항공,
449,아이마켓코리아,
450,아이에스동서,
451,아주캐피탈,
452,알루코,
453,애경산업,
454,애경유화,
455,에넥스,
456,에스엘,
457,에스원,
458,에쓰씨엔지니어링,
459,에어부산,
460,에이리츠,
461,에이블씨엔씨,
462,에이엔피,
463,에이프로젠 KIC,
464,에이프로젠제약,
465,엔씨소프트,
466,엔에스쇼핑,
467,엔케이,
468,엔케이물산,
469,영보화학,
470,영원무역,
471,영원무역홀딩스,
472,영진약품,
473,영풍,
474,영풍제지,
475,영화금속,
476,영흥,
477,예스코홀딩스,
478,오뚜기,
479,오리엔트바이오,
480,오리온,
481,오리온홀딩스,
482,용평리조트,
483,우리금융지주,
484,우리들제약,
485,우리들휴브레인,
486,우리종금,
487,우성사료,
488,우신시스템,
489,우진,
490,우진아이엔에스,
491,우진플라임,
492,웅진,
493,웅진씽크빅,
494,원림,
495,웰바이오텍,
496,윌비스,
497,유나이티드제약,
498,유니드,
499,유니온,
500,유니온머티리얼,
501,유니켐,
502,유니퀘스트,
503,유성기업,
504,유수홀딩스,
505,유안타증권,
506,유양디앤유,
507,유엔젤,
508,유유제약,
509,유진투자증권,
510,유한양행,
511,유화증권,
512,율촌화학,
513,이건산업,
514,이구산업,
515,이노션,
516,이리츠코크렙,
517,이마트,
518,이수페타시스,
519,이수화학,
520,이스타코,
521,이아이디,
522,이엔플러스,
523,이연제약,
524,이월드,
525,이지스레지던스리츠,
526,이지스밸류리츠,
527,이화산업,
528,인디에프,
529,인스코비,
530,인지컨트롤스,
531,인천도시가스,
532,인터지스,
533,인팩,
534,일동제약,
535,일동홀딩스,
536,일성건설,
537,일성신약,
538,일신방직,
539,일신석재,
540,일양약품,
541,일정실업,
542,일진다이아,
543,일진디스플,
544,일진머티리얼즈,
545,일진전기,
546,일진홀딩스,
547,잇츠한불,
548,자이에스앤디,
549,자화전자,
550,전방,
551,제이알글로벌리츠,
552,제이에스코퍼레이션,
553,제이준코스메틱,
554,제이콘텐트리,
555,제일기획,
556,제일약품,
557,제일연마,
558,제일파마홀딩스,
559,제주은행,
560,제주항공,
561,조광페인트,
562,조광피혁,
563,조비,
564,조선내화,
565,조선선재,
566,조일알미늄,
567,조흥,
568,종근당,
569,종근당바이오,
570,종근당홀딩스,
571,주연테크,
572,지누스,
573,지엠비코리아,
574,지역난방공사,
575,지코,
576,지투알,
577,진도,
578,진양산업,
579,진양폴리,
580,진양홀딩스,
581,진양화학,
582,진에어,
583,진원생명과학,
584,진흥기업,
585,참엔지니어링,
586,천일고속,
587,청호컴넷,
588,체시스,
589,카카오,
590,카프로,
591,컨버즈,
592,케이비아이동국실업,
593,케이씨,
594,케이씨씨글라스,
595,케이씨텍,
596,케이탑리츠,
597,코리아써키트,
598,코리아오토글라스,
599,코리안리,
600,코스맥스,
601,코스맥스비티아이,
602,코스모신소재,
603,코스모화학,
604,코아스,
605,코오롱,
606,코오롱글로벌,
607,코오롱머티리얼,
608,코오롱인더,
609,코오롱플라스틱,
610,코웨이,
611,콤텍시스템,
612,쿠쿠홀딩스,
613,쿠쿠홈시스,
614,큐로,
615,크라운제과,
616,크라운해태홀딩스,
617,키다리스튜디오,
618,키움증권,
619,키위미디어그룹,
620,태경비케이,
621,태경산업,
622,태경케미컬,
623,태광산업,
624,태림포장,
625,태양금속,
626,태영건설,
627,태원물산,
628,태평양물산,
629,테이팩스,
630,텔코웨어,
631,토니모리,
632,티에이치엔,
633,티웨이항공,
634,티웨이홀딩스,
635,파미셀,
636,팜스코,
637,팬오션,
638,퍼스텍,
639,퍼시스,
640,페이퍼코리아,
641,평화산업,
642,평화홀딩스,
643,포스코강판,
644,포스코인터내셔널,
645,포스코케미칼,
646,폴루스바이오팜,
647,풀무원,
648,풍산,
649,풍산홀딩스,
650,필룩스,
651,하나금융지주,
652,하나제약,
653,하나투어,
654,하이골드12호,
655,하이골드3호,
656,하이스틸,
657,하이트론,
658,하이트진로,
659,하이트진로홀딩스,
660,한국가스공사,
661,한국공항,
662,한국금융지주,
663,한국내화,
664,한국단자,
665,한국석유,
666,한국수출포장,
667,한국쉘석유,
668,한국자산신탁,
669,한국전력,
670,한국전자홀딩스,
671,한국조선해양,
672,한국종합기술,
673,한국주강,
674,한국주철관,
675,한국철강,
676,한국카본,
677,한국콜마,
678,한국콜마홀딩스,
679,한국타이어앤테크놀로지,
680,한국테크놀로지그룹,
681,한국토지신탁,
682,한국특수형강,
683,한국프랜지,
684,한국항공우주,
685,한국화장품,
686,한국화장품제조,
687,한농화성,
688,한독,
689,한라,
690,한라홀딩스,
691,한미글로벌,
692,한미반도체,
693,한미사이언스,
694,한미약품,
695,한샘,
696,한섬,
697,한성기업,
698,한세실업,
699,한세엠케이,
700,한세예스24홀딩스,
701,한솔PNS,
702,한솔로지스틱스,
703,한솔제지,
704,한솔케미칼,
705,한솔테크닉스,
706,한솔홀딩스,
707,한솔홈데코,
708,한신공영,
709,한신기계,
710,한양증권,
711,한온시스템,
712,한올바이오파마,
713,한익스프레스,
714,한일시멘트,
715,한일철강,
716,한일현대시멘트,
717,한일홀딩스,
718,한전KPS,
719,한전기술,
720,한전산업,
721,한진,
722,한진중공업,
723,한진중공업홀딩스,
724,한진칼,
725,한창,
726,한창제지,
727,한화,
728,한화생명,
729,한화손해보험,
730,한화솔루션,
731,한화시스템,
732,한화에어로스페이스,
733,한화투자증권,
734,해성디에스,
735,해태제과식품,
736,핸즈코퍼레이션,
737,현대건설,
738,현대건설기계,
739,현대그린푸드,
740,현대글로비스,
741,현대로템,
742,현대리바트,
743,현대모비스,
744,현대미포조선,
745,현대백화점,
746,현대비앤지스틸,
747,현대상사,
748,현대약품,
749,현대에너지솔루션,
750,현대에이치씨엔,
751,현대엘리베이,
752,현대오토에버,
753,현대위아,
754,현대일렉트릭,
755,현대제철,
756,현대중공업지주,
757,현대차,
758,현대차증권,
759,현대코퍼레이션홀딩스,
760,현대해상,
761,현대홈쇼핑,
762,형지엘리트,
763,혜인,
764,호전실업,
765,호텔신라,
766,화성산업,
767,화승알앤에이,
768,화승엔터프라이즈,
769,화승인더,
770,화신,
771,화인베스틸,
772,화천기계,
773,화천기공,
774,환인제약,
775,황금에스티,
776,효성,
777,효성ITX,
778,효성중공업,
779,효성첨단소재,
780,효성티앤씨,
781,효성화학,
782,후성,
783,휠라홀딩스,
784,휴니드,
785,휴비스,
786,휴스틸,
787,휴켐스,
788,흥국화재,
789,흥아해운3S,
790,3S,
791,APS홀딩스,
792,AP시스템,
793,AP위성,
794,CJ ENM,
795,CJ프레시웨이,
796,CMG제약,
797,CNH,
798,CS,
799,CSA 코스믹,
800,DB금융스팩7호,
801,DMS,
802,DSC인베스트먼트,
803,EDGC,
804,EG,
805,EMW,
806,GH신소재,
807,GST,
808,GS홈쇼핑,
809,GV,
810,HB테크놀러지,
811,HRS,
812,IBKS제10호스팩,
813,IBKS제11호스팩,
814,IBKS제12호스팩,
815,IBKS제13호스팩,
816,IBKS제14호스팩,
817,ISC,
818,ITX엠투엠,
819,JW신약,
820,JYP Ent.,
821,KBI메탈,
822,KB오토시스,
823,KCC건설,
824,KCI,
825,KD,
826,KG ETS,
827,KG모빌리언스,
828,KG이니시스,
829,KH바텍,
830,KMH,
831,KMH하이텍,
832,KNN,
833,KPX생명과학,
834,KTH,
835,KT서브마린,
836,MP그룹,
837,MP한강,
838,NEW,
839,NE능률,
840,NHN벅스,
841,NHN한국사이버결제,
842,NICE평가정보,
843,OQP,
844,PI첨단소재,
845,PN풍년,
846,RFHIC,
847,S&K폴리텍,
848,SBI인베스트먼트,
849,SBS콘텐츠허브,
850,SCI평가정보,
851,SDN,
852,SFA반도체,
853,SG,
854,SG&G,
855,SGA,
856,SGA솔루션즈,
857,SK4호스팩,
858,SK5호스팩,
859,SK6호스팩,
860,SKC 솔믹스,
861,SK머티리얼즈,
862,SK바이오랜드,
863,SM C&C,
864,SM Life Design,
865,SV인베스트먼트,
866,THE E&M,
867,THE MIDONG,
868,TJ미디어,
869,TPC,
870,TS인베스트먼트,
871,UCI,
872,WI,
873,W홀딩컴퍼니,
874,YBM넷,
875,YTN,
876,YW,
877,iMBC,
878,가비아,
879,가온미디어,
880,감마누,
881,강스템바이오텍,
882,강원,
883,갤럭시아컴즈,
884,게임빌,
885,경남바이오파마,
886,경남스틸,
887,경남제약,
888,경남제약헬스케어,
889,경동제약,
890,경창산업,
891,고려시멘트,
892,고려신용정보,
893,고려제약,
894,고영,
895,골드퍼시픽,
896,골프존,
897,골프존뉴딘홀딩스,
898,광림,
899,광진실업,
900,광진윈텍,
901,교보8호스팩,
902,교보9호스팩,
903,구영테크,
904,국보디자인,
905,국순당,
906,국영지앤엠,
907,국일신동,
908,국일제지,
909,그리티,
910,그린플러스,
911,글로벌텍스프리,
912,글로본,
913,글로스퍼랩스,
914,금강철강,
915,금화피에스시,
916,기가레인,
917,기산텔레콤,
918,까스텔바작,
919,나노,
920,나노브릭,
921,나노스,
922,나노신소재,
923,나노엔텍,
924,나노캠텍,
925,나라엠앤디,
926,나무가,
927,나무기술,
928,나스미디어,
929,나우IB,
930,나이벡,
931,나이스디앤비,
932,나이스정보통신,
933,나인테크,
934,남화산업,
935,남화토건,
936,내츄럴엔도텍,
937,네스엠,
938,네오셈,
939,네오오토,
940,네오위즈,
941,네오위즈홀딩스,
942,네오크레마,
943,네오티스,
944,네오팜,
945,네오펙트,
946,네온테크,
947,네이블,
948,네이처셀,
949,네패스,
950,넥스턴,
951,넥스트BT,
952,넥스트아이,
953,넥슨지티,
954,넵튠,
955,넷게임즈,
956,노랑풍선,
957,노바렉스,
958,노바텍,
959,노터스,
960,녹십자랩셀,
961,녹십자셀,
962,녹십자엠에스,
963,녹십자웰빙,
964,녹원씨엔아이,
965,농우바이오,
966,누리텔레콤,
967,누리플랜,
968,뉴로스,
969,뉴보텍,
970,뉴인텍,
971,뉴지랩,
972,뉴트리,
973,뉴파워프라즈마,
974,뉴프렉스,
975,다나와,
976,다날,
977,다믈멀티미디어,
978,다산네트웍스,
979,다우데이타,
980,다원시스,
981,대동금속,
982,대동기어,
983,대동스틸,
984,대륙제관,
985,대림제지,
986,대명소노시즌,
987,대모,
988,대보마그네틱,
989,대봉엘에스,
990,대성미생물,
991,대성엘텍,
992,대성창투,
993,대성파인텍,
994,대신밸런스제6호스팩,
995,대신밸런스제7호스팩,
996,대신밸런스제8호스팩,
997,대신정보통신,
998,대아티아이,
999,대양전기공업,
1000,대양제지,
1001,대원,
1002,대원미디어,
1003,대원산업,
1004,대유,
1005,대유에이피,
1006,대정화금,
1007,대주산업,
1008,대주전자재료,
1009,대창솔루션,
1010,대창스틸,
1011,대한과학,
1012,대한광통신,
1013,대한그린파워,
1014,대한뉴팜,
1015,대한약품,
1016,대호피앤씨,
1017,대화제약,
1018,더네이쳐홀딩스,
1019,더블유에프엠,
1020,덕산네오룩스,
1021,덕산테코피아,
1022,덕산하이메탈,
1023,덕신하우징,
1024,덕우전자,
1025,데브시스터즈,
1026,데이타솔루션,
1027,데일리블록체인,
1028,덱스터,
1029,덴티스,
1030,도이치모터스,
1031,동구바이오제약,
1032,동국S&C,
1033,동국산업,
1034,동국알앤에스,
1035,동국제약,
1036,동방선기,
1037,동성화인텍,
1038,동신건설,
1039,동아엘텍,
1040,동아화성,
1041,동양에스텍,
1042,동양이엔피,
1043,동양파일,
1044,동우팜투테이블,
1045,동운아나텍,
1046,동원개발,
1047,동일금속,
1048,동일기연,
1049,동일철강,
1050,동진쎄미켐,
1051,동화기업,
1052,듀오백,
1053,드래곤플라이,
1054,드림시큐리티,
1055,드림씨아이에스,
1056,드림어스컴퍼니,
1057,디딤,
1058,디바이스이엔지,
1059,디스플레이텍,
1060,디아이티,
1061,디알젬,
1062,디알텍,
1063,디앤씨미디어,
1064,디에스케이,
1065,디에스티,
1066,디에이치피코리아,
1067,디에이테크놀로지,
1068,디에이피,
1069,디엔에이링크,
1070,디엔에프,
1071,디엠티,
1072,디오,
1073,디오스텍,
1074,디와이피엔에프,
1075,디이엔티,
1076,디자인,
1077,디젠스,
1078,디지아이,
1079,디지캡,
1080,디지탈옵틱,
1081,디지털대성,
1082,디지틀조선,
1083,디케이디앤아이,
1084,디케이락,
1085,디케이앤디,
1086,디케이티,
1087,디티앤씨,
1088,딜리,
1089,라닉스,
1090,라온시큐어,
1091,라온피플,
1092,라이브파이낸셜,
1093,라이브플렉스,
1094,라이온켐텍,
1095,라이트론,
1096,라파스,
1097,램테크놀러지,
1098,랩지노믹스,
1099,러셀,
1100,럭슬,
1101,레고켐바이오,
1102,레드로버,
1103,레드캡투어,
1104,레몬,
1105,레이,
1106,레이언스,
1107,레이크머티리얼즈,
1108,로고스바이오,
1109,로보로보,
1110,로보스타,
1111,로보티즈,
1112,로지시스,
1113,로체시스템즈,
1114,루멘스,
1115,루미마이크로,
1116,루트로닉,
1117,룽투코리아,
1118,리노공업,
1119,리노스,
1120,리더스 기술투자,
1121,리더스코스메틱,
1122,리드코프,
1123,리메드,
1124,린드먼아시아,
1125,링네트,
1126,링크제니시스,
1127,마니커에프앤지,
1128,마이크로디지탈,
1129,마이크로컨텍솔,
1130,마이크로텍,
1131,마이크로프랜드,
1132,마크로밀엠브레인,
1133,마크로젠,
1134,매일유업,
1135,매일홀딩스,
1136,매직마이크로,
1137,매커스,
1138,맥스로텍,
1139,머큐리,
1140,멀티캠퍼스,
1141,메가스터디,
1142,메가스터디교육,
1143,메가엠디,
1144,메드팩토,
1145,메디아나,
1146,메디앙스,
1147,메디톡스,
